"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.42103575,18.91056317,14.02781066,-2.086777711,23.63775608
4.43109575,18.44942602,13.61438328,-2.022920853,23.01792695
4.44115475,17.45992042,12.68882751,-2.08476276,21.68412785
4.45121375,15.92820369,11.32429905,-2.036129129,19.64925555
4.46127275,13.96545478,9.269204473,-1.6757816,16.84518693
4.47133175,11.95944466,6.950720901,-0.9974706709,13.86851778
4.48139075,10.18017319,4.614972256,-0.2925408769,11.18121081
4.49145075,8.57127672,2.439650744,0.2064967597,8.91410799
4.50150975,7.155743578,0.480489099,0.6103124893,7.197778634
4.51156875,5.745078244,-1.295069389,0.7910043168,5.942122228
4.52162775,4.467271297,-2.815676996,0.8454383862,5.347832818
4.53168675,3.511510277,-4.099855362,0.9012980068,5.472828931
4.54174575,2.713112448,-5.322999321,1.051886614,6.066445942
4.55180575,1.46661471,-6.501674035,0.9992704439,6.739530057
4.56186475,-0.04887687564,-7.31648646,0.7745011353,7.357527783
4.57192375,-1.201008155,-7.809702609,0.4378359997,7.913632275
4.58198275,-2.216253484,-8.142142546,0.102164306,8.438998892
4.59204175,-2.947880495,-8.311683733,-0.1616380906,8.82044289
4.60210075,-3.938465778,-8.447304053,-0.3947320801,9.328680071
4.61216075,-5.544328712,-9.212114598,-0.4218315858,10.76013839
4.62221975,-7.824254574,-10.34789005,-0.2692052239,12.97575661
4.63227875,-10.24411249,-11.40207988,-0.007742882967,15.32805683
4.64233775,-12.28487846,-12.46196607,0.3637979704,17.50289079
4.65239675,-14.02094135,-13.38702833,0.5705461603,19.3939384
4.66245575,-14.92036357,-14.00205367,0.6188049853,20.47089826
4.67251575,-14.66103254,-14.02798841,0.79809582,20.30682868
4.68257475,-13.2788794,-13.73805189,1.075261443,19.13684652
4.69263375,-11.11350809,-13.55206131,1.445998889,17.58577097
4.70269275,-8.635459267,-13.3189492,1.690838181,15.9632233
4.71275175,-6.258162646,-12.63727612,1.641371321,14.19716335
4.72281075,-4.493193758,-11.59790781,1.550833619,12.53416693
4.73287075,-2.999195952,-10.49949548,1.31941281,10.99888321
4.74292975,-1.43944226,-9.176648312,1.120724714,9.356222108
4.75298875,0.4736224579,-7.541154027,0.996928634,7.621495194
4.76304775,3.030608949,-5.368307056,0.6758650392,6.201621143
4.77310675,5.42275165,-2.830267553,0.3482987559,6.12682315
4.78316575,7.741771996,-0.1252105218,0.07381846637,7.743136346
4.79322575,9.930052693,2.711032301,-0.2111391565,10.29564094
4.80328475,11.75716725,5.226979854,-0.4623522055,12.87501727
4.81334375,13.36173327,7.543522149,-0.7984098154,15.36483325
4.82340275,14.87717603,9.486595765,-1.241919076,17.68808155
4.83346175,15.94680719,11.03237914,-1.748470092,19.46975082
4.84352075,16.24007429,12.00857764,-2.398329055,20.33956569
4.85358075,16.02111361,12.19505354,-3.058638162,20.36542854
4.86363975,15.55996008,11.83321146,-3.707869426,19.89687279
4.87369875,14.9105192,11.04865077,-4.23250705,19.03445252
4.88375775,14.02133662,9.909339516,-4.517664648,17.75393433
4.89381675,12.79487846,8.461166047,-4.537526762,15.99654321
4.90387575,11.27511811,6.648442072,-4.234454173,13.75720439
4.91393575,9.735257966,4.563652414,-3.636115904,11.35004449
4.92399475,8.405135688,2.631712482,-2.945937758,9.28712904
4.93405375,7.356539302,0.9412742507,-2.447582199,7.80995047
4.94411275,6.483746472,-0.7108705652,-2.165202321,6.872583675
4.95417175,5.603065163,-2.230749024,-2.030857864,6.36356536
4.96423075,4.45131366,-3.641890907,-1.618655765,5.974747624
4.97428975,3.163446287,-5.113041009,-1.33646446,6.159279018
4.98434975,1.724012066,-6.395708454,-1.229081514,6.737057637
4.99440875,0.1691038156,-7.68323552,-1.44009057,7.818859572
5.00446775,-1.975158165,-8.98667169,-1.85412314,9.386122227
5.01452675,-4.88618366,-10.33257502,-2.191312478,11.63781542
